date	outcome	animal	volume
01/2013	Other	CATS	3
01/2013	Return to Owner	DOGS	144
01/2013	Adoption	CATS	13
01/2013	Other	DOGS	5
01/2013	Euthanasia	CATS	4
01/2013	Adoption	DOGS	15
01/2013	Euthanasia	DOGS	9
01/2013	Return to Owner	CATS	14
02/2013	Adoption	DOGS	27
02/2013	Euthanasia	CATS	8
02/2013	Adoption	CATS	13
02/2013	Other	CATS	0
02/2013	Euthanasia	DOGS	11
02/2013	Return to Owner	CATS	12
02/2013	Other	DOGS	4
02/2013	Return to Owner	DOGS	181
03/2013	Adoption	DOGS	21
03/2013	Other	CATS	2
03/2013	Return to Owner	CATS	24
03/2013	Return to Owner	DOGS	204
03/2013	Other	DOGS	5
03/2013	Adoption	CATS	16
03/2013	Euthanasia	DOGS	12
03/2013	Euthanasia	CATS	7
04/2013	Other	DOGS	11
04/2013	Other	CATS	2
04/2013	Euthanasia	DOGS	13
04/2013	Euthanasia	CATS	6
04/2013	Return to Owner	DOGS	259
04/2013	Adoption	DOGS	11
04/2013	Adoption	CATS	18
04/2013	Return to Owner	CATS	31
05/2013	Other	DOGS	4
05/2013	Return to Owner	DOGS	295
05/2013	Return to Owner	CATS	69
05/2013	Adoption	CATS	24
05/2013	Euthanasia	DOGS	18
05/2013	Euthanasia	CATS	26
05/2013	Other	CATS	7
05/2013	Adoption	DOGS	27
06/2013	Adoption	CATS	22
06/2013	Euthanasia	DOGS	22
06/2013	Euthanasia	CATS	25
06/2013	Other	CATS	12
06/2013	Return to Owner	DOGS	295
06/2013	Other	DOGS	5
06/2013	Return to Owner	CATS	74
06/2013	Adoption	DOGS	27
07/2013	Adoption	DOGS	21
07/2013	Euthanasia	DOGS	14
07/2013	Other	DOGS	10
07/2013	Adoption	CATS	50
07/2013	Return to Owner	CATS	52
07/2013	Other	CATS	15
07/2013	Euthanasia	CATS	14
07/2013	Return to Owner	DOGS	365
08/2013	Euthanasia	CATS	15
08/2013	Euthanasia	DOGS	22
08/2013	Other	DOGS	2
08/2013	Adoption	CATS	36
08/2013	Return to Owner	DOGS	305
08/2013	Adoption	DOGS	28
08/2013	Return to Owner	CATS	70
08/2013	Other	CATS	13
09/2013	Return to Owner	DOGS	272
09/2013	Adoption	DOGS	19
09/2013	Adoption	CATS	41
09/2013	Return to Owner	CATS	60
09/2013	Other	CATS	9
09/2013	Euthanasia	CATS	15
09/2013	Euthanasia	DOGS	18
09/2013	Other	DOGS	5
10/2013	Other	CATS	12
10/2013	Adoption	DOGS	16
10/2013	Euthanasia	CATS	14
10/2013	Other	DOGS	8
10/2013	Return to Owner	DOGS	219
10/2013	Return to Owner	CATS	70
10/2013	Adoption	CATS	25
10/2013	Euthanasia	DOGS	15
11/2013	Euthanasia	CATS	11
11/2013	Other	DOGS	3
11/2013	Other	CATS	5
11/2013	Adoption	CATS	17
11/2013	Adoption	DOGS	16
11/2013	Return to Owner	DOGS	154
11/2013	Euthanasia	DOGS	10
11/2013	Return to Owner	CATS	23
12/2013	Return to Owner	CATS	14
12/2013	Return to Owner	DOGS	152
12/2013	Adoption	DOGS	16
12/2013	Euthanasia	DOGS	6
12/2013	Other	CATS	2
12/2013	Euthanasia	CATS	2
12/2013	Adoption	CATS	18
12/2013	Other	DOGS	1